Year,Crash Descriptor,Time,Time Label,Date,Day of Week,Police Report,Lighting Conditions,City,Collision Type Descriptor,County Name,Road Descriptor,Weather Conditions,Traffic Control Device,Road Surface Conditions,DOT Reference Marker Location,Pedestrian Bicyclist Action,Event Descriptor,Number of Vehicles Involved
2016,Property Damage Accident,17:05,Night,10-03-2016,Monday,Y,Daylight,Minneapolis,REAR END,JEFFERSON,Straight and Level,Clear,Traffic Signal,Dry,178 73011103,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,01:02,Morning,10-02-2016,Sunday,Y,Dark-Road Lighted,Kansas City,OTHER,STEUBEN,Straight and Level,Cloudy,None,Wet,,Not Applicable,"Tree, Collision With Fixed Object",1
2016,Property Damage Accident,21:40,Night,09/20/2016,Tuesday,Y,Dark-Road Unlighted,Kansas City,OTHER,STEUBEN,Straight and Level,Clear,None,Dry,,Not Applicable,Deer,1
2016,Property Damage & Injury Accident,15:32,Afternoon,09/17/2016,Saturday,Y,Daylight,Minneapolis,RIGHT ANGLE,JEFFERSON,Straight and Grade,Rain,Stop Sign,Wet,,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,20:35,Night,09-10-2016,Saturday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Level,Cloudy,None,Dry,,Not Applicable,Deer,1
2016,Property Damage Accident,15:49,Afternoon,09-09-2016,Friday,Y,Daylight,Kansas City,REAR END,STEUBEN,Straight and Level,Clear,None,Dry,17 64041321,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,10:30,Morning,09-09-2016,Friday,N,Daylight,Minneapolis,OTHER,JEFFERSON,Straight and Level,Clear,None,Dry,,Not Applicable,"Guide Rail - End, Collision With Fixed Object",1
2016,Property Damage Accident,05:30,Morning,09-07-2016,Wednesday,Y,Dark-Road Unlighted,Kansas City,OTHER,STEUBEN,Curve and Grade,Cloudy,None,Dry,,Not Applicable,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2016,Property Damage Accident,05:52,Morning,09-07-2016,Wednesday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Level,Clear,None,Dry,,Not Applicable,Deer,1
2016,Property Damage Accident,17:55,Night,09-01-2016,Thursday,Y,Daylight,Minneapolis,OTHER,JEFFERSON,Straight and Level,Clear,None,Dry,,Not Applicable,"Light Support/Utility Pole, Collision With Fixed Object",1
